"800653464195899392"	"Alphard"	"Il y avait une pizza type savoyarde avec des lardons et tout là
C'est une de mes pizzas préférées 😔"	"Mon Nov 21 11:53:55 CET 2016"	"2"
"800653352442806275"	"弗拉维"	"Need : une pizza avec du vrai fromage, pas du fromage en plastique"	"Mon Nov 21 11:53:29 CET 2016"	"2"
"800652569102221312"	"️"	"La ptite pizza du lundi avec Chlo la base"	"Mon Nov 21 11:50:22 CET 2016"	"2"
"800654601309429760"	"Lo Régua"	"Me voici au mieux du mieux, la nature, la musique, la vie... Loin du bitume et de la cohue des villes. 🌳 #vivre…"	"Mon Nov 21 11:58:27 CET 2016"	"4"
"800654307901239296"	"Team Machine"	"Euh je vois pas.. une grosse pierre dans la nature?"	"Mon Nov 21 11:57:17 CET 2016"	"4"
"800653808175083520"	"16"	"Tsm j'ai 800£ qui c'baladent dans la nature à cause de ce ptn de papier"	"Mon Nov 21 11:55:17 CET 2016"	"4"
"800653651043905536"	"touffe-touffe"	"Dame nature elle c foutue dma g elle m'a pondue avec les memes ovaires que ma mere resultat jfais d malaises 1 fois par mois cimer"	"Mon Nov 21 11:54:40 CET 2016"	"0"
"800653506671689728"	"Alice Blandin"	"le plus beau cadeau de la nature c'est ce qu'on peut fumer"	"Mon Nov 21 11:54:06 CET 2016"	"4"
"800655276097601536"	"got"	"petit repas au restaurant chinois avec ma famille"	"Mon Nov 21 12:01:07 CET 2016"	"2"
"800654523098341376"	"Bernard TEMBOURY"	" il va aller au restaurant avec Jouyet !!!!"	"Mon Nov 21 11:58:08 CET 2016"	"2"
"800655532730224640"	"🐼"	"Jviens de passer mon bac sport sous la pluie ......"	"Mon Nov 21 12:02:09 CET 2016"	"2"
"800656168658026496"	"cdc Domestique"	"""Les Animaux Fantastiques"" : le spin-off de Harry Potter cartonne au box-office US"	"Mon Nov 21 12:04:40 CET 2016"	"2"
"800656158021349376"	"Diaphana Films"	"""Juste"", ""Poignant"", ""Magnifique"".
#UneVie, le nouveau film de Stéphane Brizé, sort mercredi au cinéma.
"	"Mon Nov 21 12:04:38 CET 2016"	"2"
"800655965683142656"	"Boisfeuras"	"Tom Hanks dans la peau du commandant héroïque de l'Hudson: les premières images"	"Mon Nov 21 12:03:52 CET 2016"	"2"
"800656268809687040"	"debॐ"	"Partiel de cinema de mes couilles ptdrrr c'est la cata je vais me manger un 4"	"Mon Nov 21 12:05:04 CET 2016"	"2"
"800656245095038976"	"Pen"	"J'ai lu que Le Géant de Fer allait être réédité au cinéma en décembre : c'est comme un petit rêve qui se réalise"	"Mon Nov 21 12:04:58 CET 2016"	"2"
"800656385688162304"	"Walter Kurtz"	"Que c'est le film le plus incroyable qu'il a vu depuis La Ligne Verte."	"Mon Nov 21 12:05:32 CET 2016"	"4"
"800656049602723840"	"MrSledge62"	"#AuCinémaJeDétesteQuand il y a des grosses dindes qui explosent de rire et te casses les couilles pendant tout le film"	"Mon Nov 21 12:04:12 CET 2016"	"2"
"800656848621805568"	"PetitBuzz #Influence"	"Réalisé par #LucienJeanBaptiste ➠ #ILADÉJÀTESYEUX - Bande Annonce du #Film VF (2017) ▶ "	"Mon Nov 21 12:07:22 CET 2016"	"2"
"800656771412918272"	"FIDH"	"Découvrez les secrets de tournage de Génocide au #Burundi sur => #StopThisMovie"	"Mon Nov 21 12:07:04 CET 2016"	"4"
"800656714253135872"	"Alicia"	"#AuCinémaJeDétesteQuand les gens parlent pendant le film 😤"	"Mon Nov 21 12:06:50 CET 2016"	"2"
"800656657760092160"	"Cathy Ashley"	" Excellent film."	"Mon Nov 21 12:06:37 CET 2016"	"2"
"800656575480242176"	"🇩🇿 Samy 🇲🇦"	"#AuCinemaJeDetesteQuand Ya un fdp comme moi qui va Spoile le film"	"Mon Nov 21 12:06:17 CET 2016"	"2"
"800657099566948352"	"Nazha"	"Des gens de ma TL ont vu le film ""Tour de France "" c'est bien ou pas ?"	"Mon Nov 21 12:08:22 CET 2016"	"2"
"800656759039868928"	"Wolpharion"	"""Je suis déçu de Windows Phone... Et vous ?"""	"Mon Nov 21 12:07:01 CET 2016"	"2"
"800658845722767361"	"PartyLite France"	"La magie de Noel PartyLite vous attend ! Achetez un pot à bougie GloLite™ ou un pot à bougie trois mèches au prix..."	"Mon Nov 21 12:15:18 CET 2016"	"2"
"800658001044475906"	"Daoli😋"	"Je me lasserai jamais de Mickey et la magie de Noël"	"Mon Nov 21 12:11:57 CET 2016"	"2"
"800658709680685056"	"marionette"	"Ouais bah c du grand foutage de gueule de nous claquer 2 heures de math demain avant manger putain"	"Mon Nov 21 12:14:46 CET 2016"	"0"
"800658609646563329"	"Jean-Claude Balsan"	"Contrôle de math, bac blanc écrit Anglais, bac sport... La semaine de la PLS est lancée les copains"	"Mon Nov 21 12:14:22 CET 2016"	"2"
"800658421238394880"	"tu es bête ou quoi?"	"Les math ça fait PT des câble des fois laaaaaa"	"Mon Nov 21 12:13:37 CET 2016"	"2"
"800658071160848384"	"romain"	"jtweet via l'ordi du lycee, vive les cours de math"	"Mon Nov 21 12:12:14 CET 2016"	"4"
"800657152734089217"	"sodam"	"J'ai geré l'epreuve de math au moins ca c'est fait 🙏🏾"	"Mon Nov 21 12:08:35 CET 2016"	"2"
